,id,home,away,exhibition,season,variable,change
3015,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_out1,VLAGYIMIR KOMAN 88
4965,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_out2,EDGAR BRUNO DA SILVA 78
6915,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_out3,
32511,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,a_in0,EVANS KANGWA 73
34461,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,a_in1,NABIL GHILAS 79
36411,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,a_in2,SIARHEI KISLIAK 63.dk
13011,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,a_out0,EMRE NEFİZ 73
14961,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,a_out1,ANTON PUTSILA 79
16911,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,a_out2,N'GUESSAN DAVY CLAUDE ANGAN 63.dk
22761,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,h_in0,MUSTAFA SAMİCAN KESKİN 85
24711,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,h_in1,CEM ÖZDEMİR 67.dk
1311,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,h_out0,TEVFİK ALTINDAĞ 85
3261,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,h_out1,EDGAR BRUNO DA SILVA 67
5211,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,2016/17,h_out2,
32243,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,a_in0,GUY LUCIEN MICHEL LANDEL 75
34193,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,a_in1,KAMAL ISSAH 54
36143,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,a_in2,TOKELO ANTHONY RANTIE 64.dk
12743,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,a_out0,ORHAN ŞAM 75
14693,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,a_out1,AYDIN KARABULUT 54
16643,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,a_out2,VEDAT MURIÇ 64.dk
22493,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_in0,AHMET BAHÇIVAN 90+2
24443,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_in1,MUSTAFA SAMİCAN KESKİN 82
